Initializare baza de date,2025-05-19 15:20:28
Listare toti studentii din baza de date,2025-05-19 15:20:28
Listare toti profesorii din baza de date,2025-05-19 15:20:28
Listare toate materiile din baza de date,2025-05-19 15:20:28
Listare toate salile din baza de date,2025-05-19 15:20:28
Listare toate cursurile din baza de date,2025-05-19 15:20:28
Salvare student in baza de date,2025-05-19 15:21:02
Adaugare student,2025-05-19 15:21:02
Cautare student dupa ID in baza de date,2025-05-19 15:21:15
Cautare student dupa ID in baza de date,2025-05-19 15:21:15
Cautare cursuri dupa ID student in baza de date,2025-05-19 15:21:15
Obtinere cursuri student,2025-05-19 15:21:15
Initializare baza de date,2025-05-19 15:21:32
Listare toti studentii din baza de date,2025-05-19 15:21:32
Listare toti profesorii din baza de date,2025-05-19 15:21:32
Listare toate materiile din baza de date,2025-05-19 15:21:32
Listare toate salile din baza de date,2025-05-19 15:21:32
Listare toate cursurile din baza de date,2025-05-19 15:21:32
Cautare student dupa ID in baza de date,2025-05-19 15:21:38
Cautare student dupa ID in baza de date,2025-05-19 15:21:38
Cautare cursuri dupa ID student in baza de date,2025-05-19 15:21:38
Obtinere cursuri student,2025-05-19 15:21:38
Initializare baza de date,2025-05-19 15:21:56
Listare toti studentii din baza de date,2025-05-19 15:21:56
Listare toti profesorii din baza de date,2025-05-19 15:21:56
Listare toate materiile din baza de date,2025-05-19 15:21:56
Listare toate salile din baza de date,2025-05-19 15:21:56
Listare toate cursurile din baza de date,2025-05-19 15:21:56
Salvare student in baza de date,2025-05-19 15:22:08
Adaugare student,2025-05-19 15:22:08
Cautare student dupa ID in baza de date,2025-05-19 15:22:12
Cautare student dupa ID in baza de date,2025-05-19 15:22:12
Cautare cursuri dupa ID student in baza de date,2025-05-19 15:22:12
Obtinere cursuri student,2025-05-19 15:22:12
Initializare baza de date,2025-05-19 15:22:30
Listare toti studentii din baza de date,2025-05-19 15:22:30
Listare toti profesorii din baza de date,2025-05-19 15:22:30
Listare toate materiile din baza de date,2025-05-19 15:22:30
Listare toate salile din baza de date,2025-05-19 15:22:30
Listare toate cursurile din baza de date,2025-05-19 15:22:30
Cautare student dupa ID in baza de date,2025-05-19 15:22:35
Cautare student dupa ID in baza de date,2025-05-19 15:22:35
Cautare cursuri dupa ID student in baza de date,2025-05-19 15:22:35
Obtinere cursuri student,2025-05-19 15:22:35
Cautare student dupa ID in baza de date,2025-05-19 15:22:43
Cautare student dupa ID in baza de date,2025-05-19 15:22:43
Cautare cursuri dupa ID student in baza de date,2025-05-19 15:22:43
Obtinere cursuri student,2025-05-19 15:22:43
Cautare student dupa ID in baza de date,2025-05-19 15:22:50
Cautare student dupa ID in baza de date,2025-05-19 15:22:50
Cautare cursuri dupa ID student in baza de date,2025-05-19 15:22:50
Obtinere cursuri student,2025-05-19 15:22:50
Initializare baza de date,2025-05-19 15:29:43
Listare toti studentii din baza de date,2025-05-19 15:29:43
Listare toti profesorii din baza de date,2025-05-19 15:29:43
Listare toate materiile din baza de date,2025-05-19 15:29:43
Listare toate salile din baza de date,2025-05-19 15:29:43
Listare toate cursurile din baza de date,2025-05-19 15:29:43
Initializare baza de date,2025-05-19 15:38:40
Listare toti studentii din baza de date,2025-05-19 15:38:40
Listare toti profesorii din baza de date,2025-05-19 15:38:40
Listare toate materiile din baza de date,2025-05-19 15:38:40
Listare toate salile din baza de date,2025-05-19 15:38:40
Listare toate cursurile din baza de date,2025-05-19 15:38:40
Initializare baza de date,2025-05-19 15:42:42
Listare toti studentii din baza de date,2025-05-19 15:42:42
